date,customer_id,city,state,melons_delivered,total_amount
2014-05-05,271,Westlake Village,PA,37,97.68
2014-05-05,206,Alturas,ID,100,287.15
2014-05-05,38,Redwood City,FL,61,148.65
2014-05-05,451,Bell Gardens,AZ,95,289.20
2014-05-05,600,Blythe,NJ,76,245.69
2014-05-05,400,Menifee,NY,34,102.59
2014-05-05,383,Claremont,IL,29,87.16
2014-05-05,175,Yorba Linda,KY,32,91.89
2014-05-05,727,Alameda,OH,20,64.08
2014-05-05,83,Yuba City,KY,132,336.61
2014-05-05,611,Pittsburg,ME,13,47.46
2014-05-05,344,Palos Verdes Estates,SD,76,202.77
2014-05-05,318,Corona,NJ,7,38.95
2014-05-05,572,Daly City,MO,24,90.16
2014-05-05,672,Lemoore,MS,5,30.90
2014-05-05,498,Walnut Creek,ND,4,12.62
2014-05-06,301,La Mirada,IL,7,29.79
2014-05-06,858,Inglewood,AK,114,292.95
2014-05-06,467,Blythe,CA,5,19.85
2014-05-06,122,Shasta Lake,MS,32,94.53
2014-05-06,362,Vacaville,NJ,32,128.06
2014-05-06,134,Pleasanton,OK,12,86.08
2014-05-06,554,South Lake Tahoe,PA,30,89.00
2014-05-06,460,Downey,AR,6,31.24
2014-05-06,133,Guadalupe,WI,81,255.04
2014-05-06,568,Eureka,NM,7,26.27
2014-05-06,110,Chico,LA,6,25.68
2014-05-06,592,Turlock,MA,21,67.36
2014-05-06,352,Palm Springs,WY,8,37.46
2014-05-06,365,South Pasadena,NE,110,284.72
2014-05-06,167,Thousand Oaks,ME,41,133.85
2014-05-06,532,San Rafael,OR,102,294.76
2014-05-06,620,Sunnyvale,CT,103,2639.01
2014-05-06,140,Menifee,RI,3,19.09
2014-05-06,679,Lake Elsinore,PA,24,95.98
